Course	Room	Teacher	Time	Students
197	53	175	3	91 315 338 595 705 738 1224
202	53	67	9	530 703 825 849 1184 1247
204	36	182	1	246 456 842 863 1231 1245 1268
206	38	59	3	347 452 474 556 907 933 994
207	48	28	3	29 166 487 570 1058 1164 1257
228	36	76	3	69 308 569 1051 1064 1112 1129
230	46	247	11	383 389 768 776 990 1132 1284
246	38	71	9	396 430 850 874 974 1057 1190
248	58	36	7	12 89 135 182 409 735 835
255	23	92	1	207 274 427 492 627 846 980
260	5	138	11	2 84 244 530 688 782 1291
261	46	178	6	73 101 263 389 679 702 852
262	23	144	3	149 165 354 795 925 1145 1202
284	36	130	8	130 280 468 911 918 945 1161
289	36	62	10	239 253 357 636 839 1157 1237
311	60	205	11	463 602 751 761 984 1137 1226
325	58	200	11	87 345 444 545 784 950 1121
334	46	104	3	79 104 157 700 862 1109 1247
363	5	237	3	26 238 277 300 405 975 1215
366	25	39	7	17 184 480 539 621 1248 1252
386	23	152	8	9 62 127 631 810 960 1093
398	5	66	6	63 125 478 698 894 931 1277
400	23	237	4	30 90 404 547 888 1165 1260
455	60	227	6	548 769 827 1008 1173 1183 1273
481	25	70	11	225 231 381 397 557 962 1249
489	60	191	3	450 508 892 926 995 1121 1256
491	23	27	12	19 66 93 175 275 346 1086
45	46	107	12	295 507 590 959 1003 1160
47	46	109	4	70 311 328 570 893 905
96	48	109	9	152 285 349 884 1043 1144
105	46	15	8	207 222 607 670 870 980
159	58	176	3	255 471 518 823 1113 1180
188	5	176	8	392 457 651 700 818 1090
200	8	22	11	174 450 657 845 1050 1220
213	20	132	11	190 380 400 418 667 1154
221	5	179	4	196 235 293 588 729 1270
247	5	226	12	200 403 548 597 876 1014
258	25	56	3	100 430 599 732 787 868
280	60	68	8	92 215 298 470 489 601
299	60	185	12	26 172 320 428 577 1254
424	58	241	12	88 221 245 268 681 1243
429	25	14	12	204 301 347 454 1136 1234
473	58	100	8	87 159 655 709 909 1220
476	58	107	6	103 800 895 1191 1197 1206
478	25	56	6	260 412 1019 1021 1049 1070
488	60	58	4	544 763 848 962 1068 1246
492	8	162	3	126 593 949 983 1210 1266
494	36	121	9	55 83 795 915 1066 1238
15	8	41	7	73 305 622 877 1193
59	20	14	7	23 99 353 965 1267
60	8	34	6	30 456 915 1017 1042
65	58	204	5	141 317 338 508 1209
81	58	166	2	291 668 775 1112 1173
90	25	104	2	344 778 797 1071 1145
114	8	58	12	5 105 479 668 818
120	20	87	12	223 677 841 1017 1067
203	51	76	11	58 458 828 1081 1238
223	6	83	11	85 372 783 1210 1273
249	46	140	1	170 585 761 1193 1230
259	20	113	3	51 574 869 1043 1045
292	51	180	12	666 864 867 1208 1286
352	58	186	4	55 125 684 1242 1243
378	14	168	11	169 257 322 419 675
17	5	203	1	248 269 596 713
57	60	178	1	198 335 416 731
121	6	26	12	120 230 555 1110
146	25	219	8	420 603 791 1136
183	58	188	1	123 137 828 1235
273	20	88	6	154 216 641 717
332	23	84	10	38 367 573 677
346	51	83	7	286 700 836 951
433	51	25	6	333 575 830 1265
477	14	244	12	137 177 658 1035
201	23	122	9	265 283 318
271	6	129	6	83 608 1188
416	46	184	10	531 854 1038
450	5	114	10	721 1162
