Course	Room	Teacher	Time	Students
106	STO10	188	40	96 586 587 511 1047 697 968 908 1157 63 773 569
107	ESTW309	296	3	444 431 235 1007 406 1032 1143 410 834 575 953 757
217	HLS105	146	40	1063 851 740 829 880 894 215 283 1037 723 635 483
360	HLS108	124	40	276 742 89 540 310 839 214 676 827 1034 228 485
375	HLS108	185	14	817 274 525 408 828 459 627 653 781 676 672 853
481	ESTW309	259	14	36 559 1057 617 516 1040 1138 1171 300 304 306 820
553	STO16	85	14	448 103 867 200 780 732 802 1003 281 269 118 739
574	HLS109	85	10	643 438 237 792 450 16 1140 664 315 860 1094 982
684	HLS105	261	22	606 10 1044 8 787 1094 775 724 722 723 721 43
692	STO10	330	43	331 1059 1028 625 787 939 734 1102 679 674 53 721
740	HLS105	159	43	1110 1123 837 250 1172 636 463 164 531 305 159 45
58	STO10	157	7	342 430 140 886 1179 203 665 287 670 53 1024
64	HLS105	107	7	810 551 230 949 601 998 164 893 988 841 821
72	HLS105	21	2	744 396 451 14 996 498 786 675 150 49 955
96	HLS108	134	43	296 100 1080 1042 166 357 670 843 155 638 1163
211	HLS108	75	27	292 848 1098 933 869 1155 855 563 567 390 483
213	ESTW309	282	27	341 279 521 640 237 990 382 1090 803 480 475
224	STO16	18	27	430 98 232 182 1088 663 366 504 502 165 213
341	HLS108	257	7	34 743 25 1170 834 503 466 288 1021 158 481
355	HLL7	83	27	590 1017 492 453 124 1177 966 425 1039 754 224
433	ESTW309	61	7	514 620 862 788 1154 264 849 569 390 608 634
462	ESTW309	238	43	1149 295 271 446 557 1052 922 367 855 849 390
476	HLS108	254	39	191 1156 1150 312 3 387 782 872 801 762 116
747	ESTW309	166	39	272 37 436 330 688 993 781 576 501 112 771
150	HLS108	276	16	346 557 620 168 807 429 821 722 1161 1111
267	ESTW307	116	10	716 951 249 326 76 1042 121 782 1037 724
309	CHS101	300	27	346 591 443 747 143 139 21 456 677 391
347	STO16	19	43	902 907 439 857 375 658 1044 882 789 964
349	STO16	251	7	552 234 146 513 577 61 1090 532 774 564
352	HLL7	182	43	290 333 856 743 1071 266 986 112 485 955
363	HLL7	189	14	945 768 588 626 864 928 725 466 54 895
377	CHS101	323	14	291 1014 134 799 959 168 890 1072 112 751
385	STO10	245	10	606 902 28 933 708 601 970 461 56 820
411	STO16	56	3	292 1085 231 82 183 995 319 505 307 1038
416	HLS105	169	10	88 799 310 388 168 1158 218 956 57 824
479	HLS108	329	10	717 240 1044 68 415 386 387 989 1165 1046
26	HLL7	113	7	197 273 495 517 414 1104 876 229 723
93	CHS101	248	7	666 997 418 909 800 533 773 422 1068
121	GST101	41	7	1064 20 129 251 501 633 874 647 47
144	ESTW309	165	10	83 978 805 548 648 266 302 562 564
238	STO16	232	10	275 517 79 1049 665 549 878 350 217
311	GST101	241	27	348 768 130 929 328 759 546 898 221
315	HLS108	232	22	105 33 1009 546 993 574 733 210 825
332	ESTW309	112	22	277 818 796 247 178 838 1096 873 729
372	CHS101	39	43	1183 1162 1103 447 1120 22 66 766 728
